"DoctorID","Complaint Type","Qty"
"BJBFDB","Correct",1
"BJBFDB","Incorrect",1
"BJBIIH","Correct",1
"BJDEGI","Correct",2
"BJDEGI","Incorrect",3
"BJDEGI","Unknown",3
"BJDFFJ","Incorrect",1
"BJEACG","Correct",1
"BJIHHD","Correct",1
"BAACDF","Unknown",1
"BAACGG","Incorrect",1
"BABEFH","Correct",4
"BABEFH","Incorrect",4
"BABEFH","Unknown",6
"BABGJG","Correct",8
"BABGJG","Incorrect",1
"BABGJG","Unknown",1
"BABHAJ","Correct",1
"BADDDJ","Correct",2
"BADDDJ","Incorrect",2
"BAEEJA","Correct",1
"BAEEJA","Incorrect",1
"BAFAAH","Correct",1
"BAFEFF","Correct",1
"BAFEFF","Incorrect",3
"BAFIJB","Correct",2
"BAFIJB","Unknown",1
"BAHHBG","Correct",3
"BBAJCF","Incorrect",1
"BBABJA","Correct",3
"BBABJA","Incorrect",1
"BBABJA","Unknown",1
"BBABJD","Correct",1
"BBBDGH","Correct",1
"BBBGBH","Incorrect",1
"BBCHEH","Correct",1
"BBCHEH","Specific",2
"BBHCBF","Unknown",1
"BCJGJJ","Correct",1
"BCCFGC","Correct",1
"BCDGAI","Correct",1
"BCFJAB","Correct",1
"BCFJAB","Unknown",2
"BCFGAB","Correct",2
"BCFGAB","Unknown",2
"BCFGEA","Unknown",1
"BCGBHC","Correct",2
"BCGFDD","Correct",1
"BCGHBG","Correct",1
"BCHBBG","Correct",1
"BDDCCB","Correct",1
"BDFCGI","Correct",2
"BDGBIC","Correct",1
"BDGBIC","Incorrect",1
"BDGCCB","Incorrect",1
"BDGHAH","Incorrect",1
"BEAIJI","Incorrect",1
"BEBBHJ","Correct",1
"BEEGED","Unknown",2
"BEFIIH","Unknown",1
"BFAHHA","Correct",1
"BFIGHB","Unknown",1
"BGJCFE","Correct",3
"BGJCFE","Unknown",1
"BGAAAH","Correct",7
"BGAAAH","Unknown",1
"BHGIFC","Correct",2
"BHGIFC","Incorrect",1
"BHHDDF","Correct",1
"CJAFAB","Incorrect",1
"CAAHID","Correct",2
"CAECFG","Correct",2
